"","sid","gender_3cats","black","white","college","income_below_35k","walk_safety_own","imagepath","image1","imageName","weights","gender","var","value","varLabel","img"
"46",4567,2,1,0,1,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/2068504223306949_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/2068504223306949_2.jpg","2068504223306949_2.jpg",0.430698555501312,"Female","nb_image_wealth_rate_d20",5,"Neighborhood Wealth","2068504223306949_2"
"47",4567,2,1,0,1,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/2068504223306949_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/2068504223306949_2.jpg","2068504223306949_2.jpg",0.430698555501312,"Female","nb_image_hhinc_text_d20",40000,"Average Income","2068504223306949_2"
"48",4567,2,1,0,1,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/2068504223306949_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/2068504223306949_2.jpg","2068504223306949_2.jpg",0.430698555501312,"Female","nb_image_tidiness_d20",5,"Disorder","2068504223306949_2"
"49",4567,2,1,0,1,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/2068504223306949_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/2068504223306949_2.jpg","2068504223306949_2.jpg",0.430698555501312,"Female","nb_image_walksafety_day_d20",5,"Safety - Daytime Walking","2068504223306949_2"
"50",4567,2,1,0,1,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/2068504223306949_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/2068504223306949_2.jpg","2068504223306949_2.jpg",0.430698555501312,"Female","nb_image_walksafety_night_d20",4,"Safety - Nighttime Walking","2068504223306949_2"
"51",4568,2,1,0,1,0,3,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/3936802273082003_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/3936802273082003_2.jpg","3936802273082003_2.jpg",0.426429627262688,"Female","nb_image_wealth_rate_d20",7,"Neighborhood Wealth","3936802273082003_2"
"52",4568,2,1,0,1,0,3,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/3936802273082003_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/3936802273082003_2.jpg","3936802273082003_2.jpg",0.426429627262688,"Female","nb_image_hhinc_text_d20",56000,"Average Income","3936802273082003_2"
"53",4568,2,1,0,1,0,3,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/3936802273082003_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/3936802273082003_2.jpg","3936802273082003_2.jpg",0.426429627262688,"Female","nb_image_tidiness_d20",3,"Disorder","3936802273082003_2"
"54",4568,2,1,0,1,0,3,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/3936802273082003_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/3936802273082003_2.jpg","3936802273082003_2.jpg",0.426429627262688,"Female","nb_image_walksafety_day_d20",7,"Safety - Daytime Walking","3936802273082003_2"
"55",4568,2,1,0,1,0,3,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/3936802273082003_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/3936802273082003_2.jpg","3936802273082003_2.jpg",0.426429627262688,"Female","nb_image_walksafety_night_d20",4,"Safety - Nighttime Walking","3936802273082003_2"
"56",4574,2,1,0,0,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/308830070730029_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/308830070730029_1.jpg","308830070730029_1.jpg",0.851096975757642,"Female","nb_image_wealth_rate_d20",1,"Neighborhood Wealth","308830070730029_1"
"57",4574,2,1,0,0,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/308830070730029_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/308830070730029_1.jpg","308830070730029_1.jpg",0.851096975757642,"Female","nb_image_hhinc_text_d20",50000,"Average Income","308830070730029_1"
"58",4574,2,1,0,0,0,2,"https://storage.googleapis.com/streetview_project_public/Detroit_processed/308830070730029_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/308830070730029_1.jpg","308830070730029_1.jpg",0.851096975757642,"Female","nb_image_tidiness_d20",3,"Disorder","308830070730029_1"
