bias,rmse,ece,alpha,delta,method
0.009098902238699963,0.1597664549236568,0.03699279640753547,0.5,0.72,Majority
0.009098902238699963,0.1597664549236568,0.03699279640753547,0.5,0.72,Weighted
0.009098902238699963,0.1597664549236568,0.03699279640753547,0.5,0.72,PLDL-Weighted
0.07436229964477445,0.17476965604263198,0.05704901312196099,0.5,0.72,Majority
0.07436229964477445,0.17476965604263198,0.05704901312196099,0.5,0.72,Weighted
0.07436229964477445,0.17476965604263198,0.05704901312196099,0.5,0.72,PLDL-Weighted
-0.015755205550104078,0.15484400664400277,0.04440800897305173,0.5,0.72,Majority
-0.015755205550104078,0.15484400664400277,0.04440800897305173,0.5,0.72,Weighted
-0.015755205550104078,0.15484400664400277,0.04440800897305173,0.5,0.72,PLDL-Weighted
0.01451024450679147,0.1495631624205656,0.03468982253006489,0.5,0.72,Majority
0.01451024450679147,0.1495631624205656,0.03468982253006489,0.5,0.72,Weighted
0.01451024450679147,0.1495631624205656,0.03468982253006489,0.5,0.72,PLDL-Weighted
-0.017741212491508448,0.1646560557371844,0.04219795587025716,0.5,0.72,Majority
-0.017741212491508448,0.1646560557371844,0.04219795587025716,0.5,0.72,Weighted
-0.017741212491508448,0.1646560557371844,0.04219795587025716,0.5,0.72,PLDL-Weighted
0.01772846289607109,0.14745424364626517,0.028638429066448402,0.5,0.72,Majority
0.01772846289607109,0.14745424364626517,0.028638429066448402,0.5,0.72,Weighted
0.01772846289607109,0.14745424364626517,0.028638429066448402,0.5,0.72,PLDL-Weighted
-0.05153695881304112,0.1649029489841189,0.06516976901254126,0.5,0.72,Majority
-0.05153695881304112,0.1649029489841189,0.06516976901254126,0.5,0.72,Weighted
-0.05153695881304112,0.1649029489841189,0.06516976901254126,0.5,0.72,PLDL-Weighted
0.08393131431070092,0.18060507136395595,0.06223682031519122,0.5,0.72,Majority
0.08393131431070092,0.18060507136395595,0.06223682031519122,0.5,0.72,Weighted
